Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Url
2018,Dortmund,Bundesliga,Neven Subotić,SRB,DF,28,1988,3,1,0,0,5,2,0,0,3,7,0,0,0,40,7,8,46.7,https://fbref.com/en/players/821233cc/Neven-Subotic
2018,Dortmund,Bundesliga,Jeremy Toljan,GER,DF,22,1994,13.5,1,0,0,7,21,2,28,9,16,0,0,0,138,12,18,40,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
2018,Dortmund,Bundesliga,Ömer Toprak,TUR,DF,28,1989,22.4,1,0,0,23,27,0,0,16,27,0,0,0,288,75,25,75,https://fbref.com/en/players/c5fd13e9/Omer-Toprak
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,NA,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Dortmund,Bundesliga,Julian Weigl,GER,MF,21,1995,21.6,4,0,0,41,41,0,4,24,36,0,0,0,260,37,20,64.9,https://fbref.com/en/players/346d51d9/Julian-Weigl
2018,Dortmund,Bundesliga,Andriy Yarmolenko,UKR,"FW,MF",27,1989,11.5,0,0,0,16,24,7,40,7,6,0,0,0,71,9,11,45,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko
2018,Dortmund,Bundesliga,Dan-Axel Zagadou,FRA,DF,18,1999,7.3,0,1,0,12,5,0,10,9,5,0,0,0,112,19,6,76,https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou
2018,Eint Frankfurt,Bundesliga,David Abraham,ARG,DF,31,1986,25.6,3,0,0,13,22,0,6,23,28,0,0,1,378,62,26,70.5,https://fbref.com/en/players/565bf0da/David-Abraham
2018,Eint Frankfurt,Bundesliga,Aymen Barkok,MAR,"MF,FW",19,1998,3.5,1,0,0,9,2,3,3,2,5,0,0,0,30,4,10,28.6,https://fbref.com/en/players/a2a85828/Aymen-Barkok
2018,Eint Frankfurt,Bundesliga,Danny Blum,GER,"FW,DF",26,1991,0.3,0,0,0,3,0,0,0,1,1,0,0,0,2,0,2,0,https://fbref.com/en/players/eb61713c/Danny-Blum
2018,Eint Frankfurt,Bundesliga,Kevin-Prince Boateng,GHA,"MF,FW",30,1987,26.2,4,0,0,79,105,14,13,15,22,0,1,0,282,43,60,41.7,https://fbref.com/en/players/f4ec4fd0/Kevin-Prince-Boateng
2018,Eint Frankfurt,Bundesliga,Marijan Ćavar,BIH,"FW,MF",19,1998,0.4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,NA,https://fbref.com/en/players/33ec696b/Marijan-Cavar
2018,Eint Frankfurt,Bundesliga,Timothy Chandler,USA,"DF,MF",27,1990,21,3,0,0,24,19,4,73,27,18,0,0,0,174,25,34,42.4,https://fbref.com/en/players/b3b7f5a6/Timothy-Chandler
2018,Eint Frankfurt,Bundesliga,Danny da Costa,GER,DF,24,1993,13.4,1,0,0,12,4,0,32,15,24,0,0,0,125,23,22,51.1,https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa
2018,Eint Frankfurt,Bundesliga,Marco Fabián,MEX,"FW,MF",28,1989,4.7,0,0,0,8,9,2,2,1,4,0,0,0,36,6,15,28.6,https://fbref.com/en/players/e665a2db/Marco-Fabian
2018,Eint Frankfurt,Bundesliga,Simon Falette,GUI,DF,25,1992,24.6,10,1,0,38,26,0,9,42,28,0,0,0,313,62,31,66.7,https://fbref.com/en/players/b82880c6/Simon-Falette
2018,Eint Frankfurt,Bundesliga,Gelson Fernandes,SUI,MF,30,1986,11.5,4,0,0,39,2,0,1,9,31,0,0,0,129,7,13,35,https://fbref.com/en/players/8e58987d/Gelson-Fernandes
2018,Eint Frankfurt,Bundesliga,Mijat Gaćinović,SRB,MF,22,1995,20.2,4,0,0,30,40,2,20,30,24,1,0,0,220,11,20,35.5,https://fbref.com/en/players/16daec92/Mijat-Gacinovic
2018,Eint Frankfurt,Bundesliga,Jonathan de Guzmán,NED,MF,29,1987,12.1,2,0,0,18,17,0,16,10,15,0,0,0,147,11,7,61.1,https://fbref.com/en/players/1bcca8b8/Jonathan-de-Guzman
2018,Eint Frankfurt,Bundesliga,Sébastien Haller,CIV,FW,23,1994,26.1,2,0,0,54,54,21,16,6,18,0,0,0,130,103,106,49.3,https://fbref.com/en/players/ba115a40/Sebastien-Haller
2018,Eint Frankfurt,Bundesliga,Makoto Hasebe,JPN,"DF,MF",33,1984,23.2,3,1,0,15,26,0,1,16,19,0,2,0,289,17,24,41.5,https://fbref.com/en/players/9ab16552/Makoto-Hasebe
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,1,0,0,0,3,0,0,0,0,0,0,0,240,0,0,NA,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2018,Eint Frankfurt,Bundesliga,Branimir Hrgota,SWE,"FW,MF",24,1993,2.2,1,0,0,6,3,3,0,1,4,0,0,0,14,2,11,15.4,https://fbref.com/en/players/710fbdd1/Branimir-Hrgota
2018,Eint Frankfurt,Bundesliga,Luka Jović,SRB,FW,19,1997,10.4,2,0,0,23,12,7,7,3,3,0,0,0,44,16,45,26.2,https://fbref.com/en/players/4d8cd038/Luka-Jovic
2018,Eint Frankfurt,Bundesliga,Daichi Kamada,JPN,"FW,MF",20,1996,1.6,0,0,0,2,3,3,0,1,0,0,0,0,6,1,4,20,https://fbref.com/en/players/15b287da/Daichi-Kamada
2018,Eint Frankfurt,Bundesliga,Omar Mascarell,ESP,MF,24,1993,8.6,4,0,0,19,9,0,2,14,18,0,0,0,124,15,13,53.6,https://fbref.com/en/players/11fd2b75/Omar-Mascarell
2018,Eint Frankfurt,Bundesliga,Slobodan Medojević,SRB,MF,26,1990,0.3,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,NA,https://fbref.com/en/players/2e64bb49/Slobodan-Medojevic
2018,Eint Frankfurt,Bundesliga,Alexander Meier,GER,FW,34,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,https://fbref.com/en/players/362aa29d/Alexander-Meier
2018,Eint Frankfurt,Bundesliga,Ante Rebić,CRO,"FW,MF",23,1993,19.5,8,0,0,58,43,10,39,4,25,1,0,0,123,24,61,28.2,https://fbref.com/en/players/536cebe5/Ante-Rebic
2018,Eint Frankfurt,Bundesliga,Marco Russ,GER,DF,31,1985,12.7,3,0,0,12,14,0,0,19,11,0,0,1,148,52,27,65.8,https://fbref.com/en/players/e26c4233/Marco-Russ
2018,Eint Frankfurt,Bundesliga,Carlos Salcedo,MEX,DF,23,1993,17.9,5,0,0,28,14,0,3,15,19,0,0,0,258,52,21,71.2,https://fbref.com/en/players/64c07ae1/Carlos-Salcedo
2018,Eint Frankfurt,Bundesliga,Marc Stendera,GER,MF,21,1995,4.1,1,0,0,9,11,1,1,7,24,0,0,0,42,3,6,33.3,https://fbref.com/en/players/500cd987/Marc-Stendera
2018,Eint Frankfurt,Bundesliga,Taleb Tawatha,ISR,"DF,MF",25,1992,4.9,1,0,0,7,5,1,17,4,8,0,0,0,41,2,8,20,https://fbref.com/en/players/bbb496b5/Taleb-Tawatha
2018,Eint Frankfurt,Bundesliga,Jetro Willems,NED,"DF,MF",23,1994,18.5,4,0,0,26,24,9,63,9,38,0,0,0,189,17,17,50,https://fbref.com/en/players/9050ddc4/Jetro-Willems
2018,Eint Frankfurt,Bundesliga,Marius Wolf,GER,"MF,DF",22,1995,26.3,4,0,0,28,26,5,63,17,27,0,0,0,203,13,34,27.7,https://fbref.com/en/players/fa661778/Marius-Wolf
2018,Freiburg,Bundesliga,Amir Abrashi,ALB,MF,27,1990,9.4,2,0,0,23,29,0,4,11,26,0,0,0,137,21,19,52.5,https://fbref.com/en/players/1c08a3c8/Amir-Abrashi
2018,Freiburg,Bundesliga,Onur Bulut,TUR,MF,23,1994,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,https://fbref.com/en/players/32e96d52/Onur-Bulut
2018,Freiburg,Bundesliga,Mohamed Dräger,TUN,"MF,FW",21,1996,0.6,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,NA,https://fbref.com/en/players/8954fddc/Mohamed-Drager
2018,Freiburg,Bundesliga,Mike Frantz,GER,MF,30,1986,11.6,0,0,0,21,18,0,7,9,15,0,0,0,87,21,13,61.8,https://fbref.com/en/players/482b70ad/Mike-Frantz
2018,Freiburg,Bundesliga,Rafał Gikiewicz,POL,GK,29,1987,1.7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,NA,https://fbref.com/en/players/17376543/Rafal-Gikiewicz
2018,Freiburg,Bundesliga,Karim Guédé,SVK,FW,32,1985,0.7,0,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,https://fbref.com/en/players/79fa1799/Karim-Guede
2018,Freiburg,Bundesliga,Manuel Gulde,GER,DF,26,1991,17,1,0,0,7,7,0,4,7,10,0,1,0,164,52,27,65.8,https://fbref.com/en/players/25ab9c9c/Manuel-Gulde
2018,Freiburg,Bundesliga,Christian Günter,GER,"DF,MF",24,1993,34,2,0,0,25,25,0,98,11,28,1,0,0,261,13,28,31.7,https://fbref.com/en/players/8593f88c/Christian-Gunter
2018,Freiburg,Bundesliga,Janik Haberer,GER,"MF,FW",23,1994,30.5,9,0,0,80,76,6,21,23,35,0,0,0,271,54,85,38.8,https://fbref.com/en/players/70dcf94d/Janik-Haberer
2018,Freiburg,Bundesliga,Nicolas Höfler,GER,MF,27,1990,25.1,7,1,1,43,59,0,2,30,23,1,1,0,317,44,28,61.1,https://fbref.com/en/players/5d8e331f/Nicolas-Hofler
2018,Freiburg,Bundesliga,Lucas Höler,GER,"MF,FW",23,1994,10.1,0,0,0,21,26,2,7,3,12,0,0,0,66,24,22,52.2,https://fbref.com/en/players/ca618d23/Lucas-Holer
2018,Freiburg,Bundesliga,Bartosz Kapustka,POL,"FW,MF",20,1996,2.6,0,0,0,5,4,2,5,2,4,0,0,0,18,1,7,12.5,https://fbref.com/en/players/7364c4d1/Bartosz-Kapustka
2018,Freiburg,Bundesliga,Florian Kath,GER,"FW,MF",22,1994,7.5,3,0,0,22,36,0,11,4,8,0,0,0,50,14,16,46.7,https://fbref.com/en/players/6a81a181/Florian-Kath
2018,Freiburg,Bundesliga,Marc-Oliver Kempf,GER,DF,22,1995,10,1,0,0,6,7,0,0,10,5,0,1,0,117,26,18,59.1,https://fbref.com/en/players/815c314f/Marc-Oliver-Kempf
2018,Freiburg,Bundesliga,Ryan Kent,ENG,"FW,MF",20,1996,2.7,1,0,0,3,2,0,3,0,3,0,0,0,17,0,9,0,https://fbref.com/en/players/316de854/Ryan-Kent
2018,Freiburg,Bundesliga,Tim Kleindienst,GER,FW,21,1995,12.6,2,0,0,36,20,4,12,4,12,0,0,0,73,70,69,50.4,https://fbref.com/en/players/258a6f4d/Tim-Kleindienst
