Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2020,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,33,1986,33,33,2970,33,31,0.94,111,84,74.8,25,4,4,15,45.5,4,3,1,0,25,https://fbref.com/en/players/8778c910/Manuel-Neuer
2020,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,30,1988,2,2,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2020,Dortmund,Bundesliga,Roman Bürki,SUI,GK,28,1990,31,31,2770,30.8,40,1.3,93,59,60.2,19,5,7,13,41.9,3,3,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2020,Dortmund,Bundesliga,Marwin Hitz,SUI,GK,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100,0,0,0,0,NA,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2020,Düsseldorf,Bundesliga,Florian Kastenmeier,GER,GK,22,1997,17,17,1530,17,31,1.82,76,50,61.8,2,9,6,2,11.8,3,2,1,0,33.3,https://fbref.com/en/players/dc2e4736/Florian-Kastenmeier
2020,Düsseldorf,Bundesliga,Zack Steffen,USA,GK,24,1995,17,17,1530,17,36,2.12,95,61,63.2,4,3,10,2,11.8,2,1,1,0,50,https://fbref.com/en/players/42130443/Zack-Steffen
2020,Eint Frankfurt,Bundesliga,Frederik Rønnow,DEN,GK,26,1992,9,9,810,9,14,1.56,47,35,74.5,2,3,4,1,11.1,2,2,0,0,0,https://fbref.com/en/players/a70b8345/Frederik-Ronnow
2020,Eint Frankfurt,Bundesliga,Kevin Trapp,GER,GK,29,1990,22,22,1980,22,38,1.73,104,69,64.4,11,3,8,4,18.2,1,1,0,0,0,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp
2020,Eint Frankfurt,Bundesliga,Felix Wiedwald,GER,GK,29,1990,3,3,270,3,8,2.67,21,13,61.9,0,0,3,0,0,0,0,0,0,NA,https://fbref.com/en/players/e2d34771/Felix-Wiedwald
2020,Freiburg,Bundesliga,Mark Flekken,NED,GK,26,1993,10,10,900,10,14,1.4,70,54,80,4,3,3,3,30,1,0,0,1,NA,https://fbref.com/en/players/a92ab7be/Mark-Flekken
2020,Freiburg,Bundesliga,Alexander Schwolow,GER,GK,27,1992,24,24,2091,23.2,32,1.38,114,83,74.6,9,6,9,4,16.7,3,3,0,0,0,https://fbref.com/en/players/0d55d942/Alexander-Schwolow
2020,Freiburg,Bundesliga,Niclas Thiede,GER,GK,20,1999,1,0,69,0.8,1,1.3,4,3,75,0,0,0,0,NA,0,0,0,0,NA,https://fbref.com/en/players/cac55e10/Niclas-Thiede
2020,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,34,1984,29,29,2547,28.3,46,1.63,131,94,70.2,11,5,13,9,31,7,7,0,0,0,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2020,Hertha BSC,Bundesliga,Thomas Kraft,GER,GK,31,1988,4,4,360,4,9,2.25,20,11,55,0,3,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/bb25c778/Thomas-Kraft
2020,Hertha BSC,Bundesliga,Dennis Smarsch,GER,GK,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/45f6f52b/Dennis-Smarsch
2020,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,29,1990,30,30,2700,30,49,1.63,143,101,69.2,13,7,10,7,23.3,7,5,2,0,28.6,https://fbref.com/en/players/47064058/Oliver-Baumann
2020,Hoffenheim,Bundesliga,Philipp Pentke,GER,GK,34,1985,4,4,360,4,4,1,20,16,85,2,0,2,1,25,1,1,0,0,0,https://fbref.com/en/players/c41f7379/Philipp-Pentke
2020,Köln,Bundesliga,Timo Horn,GER,GK,26,1993,34,34,3060,34,69,2.03,152,87,57.2,10,6,18,6,17.6,6,4,2,0,33.3,https://fbref.com/en/players/3cd9e95a/Timo-Horn
2020,Leverkusen,Bundesliga,Lukáš Hrádecký,FIN,GK,29,1989,34,34,3060,34,44,1.29,137,92,69.3,19,6,9,10,29.4,2,2,0,0,0,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2020,M'Gladbach,Bundesliga,Yann Sommer,SUI,GK,30,1988,34,34,3060,34,40,1.18,152,110,74.3,20,5,9,7,20.6,2,1,1,0,50,https://fbref.com/en/players/420c18a1/Yann-Sommer
2020,Mainz 05,Bundesliga,Florian Müller,GER,GK,21,1997,13,12,1125,12.5,25,2,64,41,64.1,3,2,7,2,16.7,3,2,1,0,33.3,https://fbref.com/en/players/cbac6ec9/Florian-Muller
2020,Mainz 05,Bundesliga,Robin Zentner,GER,GK,24,1994,22,22,1935,21.5,40,1.86,113,75,65.5,8,2,12,3,13.6,2,1,1,0,50,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner
2020,Paderborn 07,Bundesliga,Jannik Huth,GER,GK,25,1994,6,6,540,6,17,2.83,32,16,50,0,1,5,0,0,1,1,0,0,0,https://fbref.com/en/players/e8fd2e5b/Jannik-Huth
2020,Paderborn 07,Bundesliga,Leopold Zingerle,GER,GK,25,1994,28,28,2520,28,57,2.04,147,95,63.3,4,7,17,5,17.9,4,3,1,0,25,https://fbref.com/en/players/bf9d9070/Leopold-Zingerle
2020,RB Leipzig,Bundesliga,Péter Gulácsi,HUN,GK,29,1990,32,32,2880,32,34,1.06,117,82,72.6,16,12,4,10,31.3,2,2,0,0,0,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi
2020,RB Leipzig,Bundesliga,Yvon Mvogo,SUI,GK,25,1994,2,2,180,2,3,1.5,5,2,40,2,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/dc29b608/Yvon-Mvogo
2020,Schalke 04,Bundesliga,Alexander Nübel,GER,GK,22,1996,26,26,2315,25.7,40,1.56,114,79,68.4,8,9,9,6,23.1,4,4,0,0,0,https://fbref.com/en/players/afb0c500/Alexander-Nubel
2020,Schalke 04,Bundesliga,Markus Schubert,GER,GK,21,1998,9,8,742,8.2,18,2.18,52,35,69.2,1,3,4,2,25,2,2,0,0,0,https://fbref.com/en/players/289b90cd/Markus-Schubert
2020,Union Berlin,Bundesliga,Rafał Gikiewicz,POL,GK,31,1987,33,33,2970,33,54,1.64,160,109,68.1,12,5,16,8,24.2,4,3,1,0,25,https://fbref.com/en/players/17376543/Rafal-Gikiewicz
2020,Union Berlin,Bundesliga,Moritz Nicolas,GER,GK,21,1997,1,1,90,1,4,4,8,4,50,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/226ddf9d/Moritz-Nicolas
