Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Atlético Madrid,La Liga,Saúl Ñíguez,ESP,MF,22,1994,35.1,2254,119,528,1382,498,55,2221,50,79,63.3,54,6,1505,7377,3772,153,55,10,37,32,1620,1460,90.1,98,https://fbref.com/en/players/c14bc029/Saul-Niguez
2018,Atlético Madrid,La Liga,Jan Oblak,SVN,GK,24,1993,37,876,800,875,3,0,0,596,3,3,100,3,0,381,1989,1168,0,0,0,0,0,283,283,100,0,https://fbref.com/en/players/ee8508c0/Jan-Oblak
2018,Atlético Madrid,La Liga,Thomas Partey,GHA,"MF,DF",24,1993,26.4,1733,76,512,1036,331,17,1689,30,39,76.9,33,2,1228,6882,3641,138,37,4,16,17,1141,1073,94,38,https://fbref.com/en/players/529f49ab/Thomas-Partey
2018,Atlético Madrid,La Liga,Arona Sané,SEN,MF,22,1995,0.7,23,0,0,6,17,4,23,0,0,NA,0,0,20,82,33,0,0,0,1,5,29,21,72.4,10,https://fbref.com/en/players/22df75d8/Arona-Sane
2018,Atlético Madrid,La Liga,Stefan Savić,MNE,DF,26,1991,25.5,1262,218,736,568,26,7,1239,1,1,100,1,0,695,3509,1839,26,3,0,1,2,722,716,99.2,2,https://fbref.com/en/players/f6ac68c1/Stefan-Savic
2018,Atlético Madrid,La Liga,Fernando Torres,ESP,FW,33,1984,10.9,372,7,45,172,178,55,365,16,31,51.6,19,1,248,1158,628,31,8,7,27,22,492,276,56.1,96,https://fbref.com/en/players/bdf7b97d/Fernando-Torres
2018,Atlético Madrid,La Liga,Luciano Vietto,ARG,FW,23,1993,3,139,3,16,67,66,14,136,3,9,33.3,4,0,98,557,220,11,4,1,7,12,145,98,67.6,29,https://fbref.com/en/players/2513a588/Luciano-Vietto
2018,Atlético Madrid,La Liga,Vitolo,ESP,"MF,FW",27,1989,6.9,387,7,64,197,165,31,376,8,16,50,9,0,305,2036,1194,65,25,10,14,15,338,276,81.7,63,https://fbref.com/en/players/db750822/Vitolo
2018,Atlético Madrid,La Liga,Šime Vrsaljko,CRO,"DF,MF",25,1992,18.8,1081,66,285,448,404,20,919,8,16,50,8,1,600,3061,1552,78,27,3,13,10,662,588,88.8,47,https://fbref.com/en/players/46a8347f/Sime-Vrsaljko
2018,Atlético Madrid,La Liga,Axel Werner,ARG,GK,21,1996,1,16,15,16,0,0,0,12,0,0,NA,0,0,7,53,41,0,0,0,0,0,4,4,100,0,https://fbref.com/en/players/c0b1a6da/Axel-Werner
2018,Augsburg,Bundesliga,Simon Asta,GER,MF,16,2001,0.1,9,0,4,3,3,0,8,0,0,NA,0,0,5,20,8,0,0,0,0,0,7,5,71.4,1,https://fbref.com/en/players/dfc85b89/Simon-Asta
2018,Augsburg,Bundesliga,Daniel Baier,GER,MF,33,1984,28.2,1930,40,493,1242,313,13,1848,24,38,63.2,28,2,1175,5981,2992,97,29,2,29,23,1140,1079,94.6,53,https://fbref.com/en/players/f261abcb/Daniel-Baier
