Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,0,0,0,0,0,0,1,0,1,3,1,33.3,3,0,0,2,0,0,2,0,0,2,2,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Gonzalo Castro,GER,MF,30,1987,13.4,22,14,7,14,1,3,18,16.7,15,256,81,31.6,70,132,54,31,4,0,27,12,34,15,0,https://fbref.com/en/players/68829001/Gonzalo-Castro
2018,Dortmund,Bundesliga,Mahmoud Dahoud,GER,MF,21,1996,12.7,34,22,12,17,5,8,31,25.8,23,287,87,30.3,86,151,50,18,2,0,16,16,50,7,0,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
2018,Dortmund,Bundesliga,Sergio Gómez,ESP,MF,16,2000,0.1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
2018,Dortmund,Bundesliga,Mario Götze,GER,MF,25,1992,17.8,45,38,22,18,5,11,37,29.7,26,423,151,35.7,88,226,109,16,2,0,14,5,50,7,0,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2018,Dortmund,Bundesliga,Raphaël Guerreiro,POR,"DF,MF",23,1993,6.1,7,5,4,2,1,1,7,14.3,6,94,17,18.1,24,53,17,4,0,0,4,7,14,10,1,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2018,Dortmund,Bundesliga,Alexander Isak,SWE,"FW,MF",17,1999,1.3,1,0,0,1,0,0,2,0,2,15,7,46.7,0,6,9,0,0,0,0,0,1,0,0,https://fbref.com/en/players/8e92be30/Alexander-Isak
2018,Dortmund,Bundesliga,Shinji Kagawa,JPN,MF,28,1989,13,29,18,10,11,8,13,26,50,13,245,69,28.2,52,123,70,8,2,0,6,4,33,9,0,https://fbref.com/en/players/5afafbfe/Shinji-Kagawa
2018,Dortmund,Bundesliga,Sokratis Papastathopoulos,GRE,DF,29,1988,26.4,54,32,41,10,3,16,28,57.1,12,252,89,35.3,168,74,10,45,12,0,33,25,79,134,0,https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos
2018,Dortmund,Bundesliga,Felix Passlack,GER,DF,19,1998,0.1,0,0,0,0,0,0,0,NA,0,2,1,50,1,0,1,0,0,0,0,1,1,0,0,https://fbref.com/en/players/5c899683/Felix-Passlack
2018,Dortmund,Bundesliga,Maximilian Philipp,GER,"FW,MF",23,1994,13.4,18,15,6,9,3,3,16,18.8,13,193,61,31.6,33,83,77,10,0,0,10,6,24,7,0,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2018,Dortmund,Bundesliga,Łukasz Piszczek,POL,DF,32,1985,23.8,42,24,21,17,4,20,46,43.5,26,308,99,32.1,145,106,57,45,11,0,34,29,71,83,1,https://fbref.com/en/players/fe2db476/Lukasz-Piszczek
2018,Dortmund,Bundesliga,Christian Pulisic,USA,FW,18,1998,25.6,36,15,11,14,11,6,30,20,24,431,124,28.8,106,174,151,29,4,0,25,15,51,11,0,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2018,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",28,1989,10.3,19,13,4,13,2,1,9,11.1,8,169,57,33.7,28,74,67,16,4,0,12,5,24,7,0,https://fbref.com/en/players/36a3ff67/Marco-Reus
2018,Dortmund,Bundesliga,Nuri Şahin,TUR,MF,28,1988,13.6,34,30,11,20,3,10,40,25,30,208,76,36.5,53,119,36,16,1,0,15,9,43,27,0,https://fbref.com/en/players/f4081572/Nuri-Sahin
2018,Dortmund,Bundesliga,Jadon Sancho,ENG,FW,17,2000,7.7,5,5,2,2,1,3,6,50,3,100,22,22,22,43,35,11,0,0,11,6,11,3,0,https://fbref.com/en/players/dbf053da/Jadon-Sancho
