Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Press_Pass,Sw_Pass,Crs_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Ground_Height,Low_Height,High_Height,Left_Body,Right_Body,Head_Body,TI_Body,Other_Body,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Url
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,0.5,52,47,5,1,0,1,1,4,0,0,0,0,37,7,8,40,8,0,4,0,45,0,0,0,2,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,24.6,1979,1941,38,35,3,276,58,3,0,0,0,0,1483,212,284,627,1193,110,3,10,1746,4,35,22,16,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,25.9,2143,1872,271,45,7,310,91,107,67,4,15,7,1395,296,452,340,1561,70,159,3,1794,5,21,24,40,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,24.1,613,599,14,3,3,136,8,12,0,0,0,0,454,100,59,72,480,29,0,11,480,3,8,15,27,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,114,113,1,0,0,24,2,0,0,0,0,0,97,8,9,20,85,4,1,1,101,0,5,1,0,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
2018,Bayern Munich,Bundesliga,Javi Martínez,ESP,"MF,DF",28,1988,17.9,1180,1164,16,15,3,149,23,6,0,0,0,0,903,112,165,224,853,71,0,1,1052,0,17,6,9,https://fbref.com/en/players/7f97771d/Javi-Martinez
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,22.3,1004,974,30,2,3,214,26,91,1,0,0,0,612,211,181,139,763,58,14,4,736,4,21,27,41,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,81,71,10,2,0,7,5,0,0,0,0,0,45,11,25,12,58,1,0,9,69,0,0,1,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Kwasi Okyere Wriedt,GHA,MF,23,1994,0.3,6,6,0,0,0,2,0,1,0,0,0,0,3,3,0,4,1,1,0,0,3,0,1,0,0,https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt
2018,Bayern Munich,Bundesliga,Rafinha,BRA,DF,31,1985,20.6,1779,1603,176,27,3,289,36,40,2,0,2,0,1243,299,237,302,1241,69,147,8,1572,1,10,25,20,https://fbref.com/en/players/d003e213/Rafinha
2018,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",34,1983,13.4,821,787,34,2,5,155,31,23,15,1,0,2,607,122,92,98,684,17,17,4,690,4,10,12,29,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2018,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",33,1984,16.7,872,768,104,18,3,218,39,33,37,14,8,0,582,163,127,735,38,31,49,4,714,0,8,21,21,https://fbref.com/en/players/09586899/Arjen-Robben
2018,Bayern Munich,Bundesliga,James Rodríguez,COL,MF,26,1991,18,1604,1460,144,62,9,290,91,61,57,12,26,4,1062,248,294,1457,94,30,15,3,1367,5,16,27,29,https://fbref.com/en/players/715bf047/James-Rodriguez
2018,Bayern Munich,Bundesliga,Sebastian Rudy,GER,MF,27,1990,16.8,1062,1009,53,25,1,166,35,14,23,11,6,2,795,112,155,93,909,47,3,6,928,4,13,9,18,https://fbref.com/en/players/80f36c88/Sebastian-Rudy
