Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,Url
2019,Eint Frankfurt,Bundesliga,Frederik Rønnow,DEN,GK,25,1992,1.4,0,0,0,0,0,1.6,0.21,1.6,1.2,16,40,40,39,2,74.4,52,12,91.7,63.8,8,0,0,0,0,13,https://fbref.com/en/players/a70b8345/Frederik-Ronnow
2019,Eint Frankfurt,Bundesliga,Kevin Trapp,GER,GK,28,1990,32.6,48,1,1,6,1,48,0.31,1,0.03,359,774,46.4,990,107,59.1,43.2,219,86.3,61.7,283,28,9.9,24,0.74,15.1,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp
2019,Freiburg,Bundesliga,Mark Flekken,NED,GK,25,1993,1,1,0,0,0,0,0.9,0.17,-0.1,-0.15,8,13,61.5,24,1,41.7,37.2,5,60,53.6,3,0,0,0,0,13,https://fbref.com/en/players/a92ab7be/Mark-Flekken
2019,Freiburg,Bundesliga,Alexander Schwolow,GER,GK,26,1992,33,60,7,0,12,0,54.6,0.3,-5.4,-0.16,288,708,40.7,941,136,47.4,41,327,80.1,64.1,343,16,4.7,19,0.58,13.7,https://fbref.com/en/players/0d55d942/Alexander-Schwolow
2019,Hannover 96,Bundesliga,Michael Esser,GER,GK,30,1987,32,67,5,1,12,1,58.6,0.26,-6.4,-0.2,313,653,47.9,947,141,51.2,40.7,284,59.2,46.3,353,17,4.8,28,0.88,15,https://fbref.com/en/players/83e0eeb4/Michael-Esser
2019,Hannover 96,Bundesliga,Samuel Şahin-Radlinger,AUT,GK,25,1992,1,2,0,0,0,0,1.7,0.42,-0.3,-0.27,10,15,66.7,20,6,45,38.6,8,75,58.5,7,1,14.3,3,3,19.1,https://fbref.com/en/players/e385200c/Samuel-Sahin-Radlinger
2019,Hannover 96,Bundesliga,Philipp Tschauner,GER,GK,32,1985,1,3,1,0,0,0,2.8,0.4,-0.2,-0.19,2,9,22.2,19,3,36.8,35.5,8,25,32.3,2,0,0,0,0,7.3,https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner
2019,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,33,1984,30.5,48,2,1,6,2,47.5,0.32,1.5,0.05,369,818,45.1,884,102,63.8,45.9,277,91.7,64.1,270,32,11.9,15,0.49,13.8,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2019,Hertha BSC,Bundesliga,Thomas Kraft,GER,GK,30,1988,3.5,9,2,0,0,0,5,0.3,-4,-1.13,38,86,44.2,94,7,63.8,43.7,29,89.7,61.7,18,1,5.6,1,0.29,13.7,https://fbref.com/en/players/bb25c778/Thomas-Kraft
2019,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,28,1990,33,51,6,0,5,1,52.5,0.3,2.5,0.08,210,453,46.4,1047,183,32.5,32.6,242,46.7,42.9,298,25,8.4,44,1.33,16.8,https://fbref.com/en/players/47064058/Oliver-Baumann
