Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Bayern Munich,Bundesliga,Kingsley Coman,FRA,"FW,MF",21,1996,21,10,1153,12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2.7,2.7,2.9,5.6,0.21,0.23,0.43,0.21,0.43,https://fbref.com/en/players/042e8a49/Kingsley-Coman
2018,Bayern Munich,Bundesliga,Niklas Dorsch,GER,MF,19,1998,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,0.7,0.7,0,0.8,0.73,0.03,0.76,0.73,0.76,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch
2018,Bayern Munich,Bundesliga,Franck Evina,CMR,FW,17,2000,2,2,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.08,0.06,0.14,0.08,0.14,https://fbref.com/en/players/44e471ca/Franck-Evina
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.18,0.18,0,0.18,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,26,25,2213,24.6,1,1,1,0,0,3,0,0.04,0.04,0.08,0.04,0.08,2.3,2.3,0.6,2.9,0.1,0.02,0.12,0.1,0.12,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,29,26,2329,25.9,1,10,1,0,0,1,0,0.04,0.39,0.43,0.04,0.43,0.6,0.6,5.8,6.4,0.02,0.22,0.25,0.02,0.25,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,30,24,2172,24.1,29,2,23,6,7,1,0,1.2,0.08,1.28,0.95,1.04,29.6,24.3,2.9,27.2,1.23,0.12,1.35,1.01,1.13,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
2018,Bayern Munich,Bundesliga,Javi Martínez,ESP,"MF,DF",28,1988,22,18,1609,17.9,1,2,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,1.8,1.8,1.8,3.6,0.1,0.1,0.2,0.1,0.2,https://fbref.com/en/players/7f97771d/Javi-Martinez
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,29,22,2005,22.3,8,14,8,0,0,4,0,0.36,0.63,0.99,0.36,0.99,6.7,6.7,8.9,15.5,0.31,0.41,0.71,0.31,0.71,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Kwasi Okyere Wriedt,GHA,MF,23,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1.21,0,1.21,1.21,1.21,https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt
2018,Bayern Munich,Bundesliga,Rafinha,BRA,DF,31,1985,27,19,1851,20.6,1,2,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,0.5,0.5,2.1,2.6,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/d003e213/Rafinha
2018,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",34,1983,20,15,1203,13.4,5,1,5,0,0,3,0,0.37,0.07,0.45,0.37,0.45,3.3,3.3,4.6,8,0.25,0.35,0.6,0.25,0.6,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2018,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",33,1984,21,19,1507,16.7,5,5,5,0,1,0,0,0.3,0.3,0.6,0.3,0.6,5.1,4.3,4.8,9.2,0.3,0.29,0.59,0.26,0.55,https://fbref.com/en/players/09586899/Arjen-Robben
2018,Bayern Munich,Bundesliga,James Rodríguez,COL,MF,26,1991,23,19,1621,18,7,11,7,0,0,2,0,0.39,0.61,1,0.39,1,4.2,4.2,7.4,11.6,0.23,0.41,0.64,0.23,0.64,https://fbref.com/en/players/715bf047/James-Rodriguez
2018,Bayern Munich,Bundesliga,Sebastian Rudy,GER,MF,27,1990,25,16,1515,16.8,1,4,1,0,0,2,0,0.06,0.24,0.3,0.06,0.3,0.8,0.8,1,1.8,0.05,0.06,0.11,0.05,0.11,https://fbref.com/en/players/80f36c88/Sebastian-Rudy
2018,Bayern Munich,Bundesliga,Meritan Shabani,ALB,FW,18,1999,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/012c38ec/Meritan-Shabani
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Niklas Süle,GER,DF,21,1995,27,20,1926,21.4,2,1,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,1.5,1.5,0.6,2.2,0.07,0.03,0.1,0.07,0.1,https://fbref.com/en/players/e33c06cf/Niklas-Sule
2018,Bayern Munich,Bundesliga,Corentin Tolisso,FRA,MF,22,1994,26,17,1575,17.5,6,4,6,0,0,3,0,0.34,0.23,0.57,0.34,0.57,4.3,4.3,2.3,6.6,0.25,0.13,0.39,0.25,0.39,https://fbref.com/en/players/652d4c37/Corentin-Tolisso
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,29,2610,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Bayern Munich,Bundesliga,Arturo Vidal,CHI,MF,30,1987,22,17,1456,16.2,6,2,6,0,0,6,0,0.37,0.12,0.49,0.37,0.49,4.6,4.6,2.3,6.9,0.29,0.14,0.43,0.29,0.43,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
