Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Hamburger SV,Bundesliga,Gōtoku Sakai,JPN,"DF,MF",26,1991,25.4,1635,76,432,918,393,29,1450,35,52,67.3,37,1,972,4819,2354,104,32,5,37,32,979,887,90.6,44,https://fbref.com/en/players/c8e25f78/Gotoku-Sakai
2018,Hamburger SV,Bundesliga,Sejad Salihović,BIH,MF,32,1984,4.1,290,5,41,137,125,11,249,5,16,31.3,7,1,189,827,386,16,5,1,8,7,224,183,81.7,35,https://fbref.com/en/players/a4e14205/Sejad-Salihovic
2018,Hamburger SV,Bundesliga,Douglas Santos,BRA,DF,23,1994,26.4,1874,93,575,963,470,21,1527,43,63,68.3,46,5,980,5960,3841,162,58,6,17,37,928,861,92.8,49,https://fbref.com/en/players/c50e5bba/Douglas-Santos
2018,Hamburger SV,Bundesliga,Sven Schipplock,GER,"FW,MF",28,1988,3.8,121,3,11,49,66,18,115,2,3,66.7,2,0,56,131,53,3,2,0,15,6,155,82,52.9,40,https://fbref.com/en/players/53eeaf6a/Sven-Schipplock
2018,Hamburger SV,Bundesliga,Josha Vagnoman,GER,DF,16,2000,0.2,4,0,0,4,1,0,2,0,0,NA,0,0,2,8,6,1,1,0,1,0,1,1,100,0,https://fbref.com/en/players/fb377d11/Josha-Vagnoman
2018,Hamburger SV,Bundesliga,Walace,BRA,MF,22,1995,14.6,818,29,193,502,167,19,799,15,23,65.2,18,0,526,2599,1254,41,10,1,20,18,505,460,91.1,38,https://fbref.com/en/players/26db8853/Walace
2018,Hamburger SV,Bundesliga,Luca Waldschmidt,GER,"MF,FW",21,1996,8.8,375,2,32,191,184,41,365,11,24,45.8,13,1,278,1331,705,42,14,5,26,15,396,271,68.4,90,https://fbref.com/en/players/e5a35ae9/Luca-Waldschmidt
2018,Hamburger SV,Bundesliga,Bobby Wood,USA,"FW,MF",24,1992,17.9,607,12,42,300,309,84,580,19,37,51.4,24,0,405,1490,806,38,16,7,78,56,866,451,52.1,161,https://fbref.com/en/players/9853983f/Bobby-Wood
2018,Hannover 96,Bundesliga,Miiko Albornoz,CHI,DF,26,1990,7.8,513,36,177,205,160,12,422,10,13,76.9,10,0,275,1379,699,23,9,0,6,4,299,274,91.6,14,https://fbref.com/en/players/d459281d/Miiko-Albornoz
2018,Hannover 96,Bundesliga,Waldemar Anton,GER,"DF,MF",21,1996,25.3,1557,164,793,738,135,25,1516,21,28,75,22,0,946,5615,3044,74,16,0,20,21,868,831,95.7,37,https://fbref.com/en/players/5e66fa06/Waldemar-Anton
2018,Hannover 96,Bundesliga,Marvin Bakalorz,GER,MF,27,1989,22.8,929,49,200,560,243,29,921,15,36,41.7,20,0,574,2691,1495,76,31,4,38,34,687,534,77.7,101,https://fbref.com/en/players/04c11885/Marvin-Bakalorz
2018,Hannover 96,Bundesliga,Noah Joel Sarenren Bazee,NGA,"FW,MF",20,1996,1.3,57,2,6,25,29,4,57,3,8,37.5,4,0,41,221,98,7,1,0,9,4,62,38,61.3,12,https://fbref.com/en/players/fbbc8e15/Noah-Joel-Sarenren-Bazee
2018,Hannover 96,Bundesliga,Ihlas Bebou,TOG,"MF,FW",23,1994,23.8,1047,33,178,479,484,91,1044,70,117,59.8,73,1,797,4213,2627,117,47,19,70,67,1010,696,68.9,188,https://fbref.com/en/players/a53b661f/Ihlas-Bebou
2018,Hannover 96,Bundesliga,Charlison Benschop,CUW,"MF,FW",27,1989,2,80,2,14,35,33,7,77,1,5,20,1,0,54,174,79,4,2,0,4,4,76,55,72.4,20,https://fbref.com/en/players/fc93fdf1/Charlison-Benschop
2018,Hannover 96,Bundesliga,Josip Elez,CRO,DF,23,1994,8.6,459,61,235,234,19,2,434,4,4,100,4,0,259,1619,1003,31,3,0,2,2,268,265,98.9,4,https://fbref.com/en/players/eafac393/Josip-Elez
2018,Hannover 96,Bundesliga,Michael Esser,GER,GK,29,1987,3,130,116,130,0,0,0,94,0,0,NA,0,0,56,391,209,0,0,0,0,0,56,55,98.2,0,https://fbref.com/en/players/83e0eeb4/Michael-Esser
2018,Hannover 96,Bundesliga,Felipe,BRA,DF,30,1987,5.1,330,34,175,168,9,4,321,2,2,100,2,0,197,1039,465,10,2,0,4,1,194,194,100,2,https://fbref.com/en/players/de164de6/Felipe
2018,Hannover 96,Bundesliga,Iver Fossum,NOR,MF,21,1996,14.5,841,21,159,464,274,34,819,9,15,60,10,0,545,2516,1263,64,23,4,18,29,646,554,85.8,67,https://fbref.com/en/players/ce218223/Iver-Fossum
2018,Hannover 96,Bundesliga,Niclas Füllkrug,GER,FW,24,1993,26.5,1119,28,85,633,458,137,1058,29,56,51.8,31,0,618,2939,1491,85,27,24,79,40,1414,864,61.1,373,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug
