Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,Url
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,15.7,34,2.16,23,0,3,6,1,1,10,0.64,4,0,2,3,1,0,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Dortmund,Bundesliga,Marc Bartra,ESP,DF,26,1991,9,8,0.89,7,0,0,1,0,0,2,0.22,1,0,0,1,0,0,https://fbref.com/en/players/b742cc0d/Marc-Bartra
2018,Dortmund,Bundesliga,Michy Batshuayi,BEL,FW,23,1993,9.3,15,1.61,11,0,0,3,0,1,4,0.43,3,0,0,0,0,1,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi
2018,Dortmund,Bundesliga,Jacob Bruun Larsen,DEN,DF,18,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Gonzalo Castro,GER,MF,30,1987,13.4,57,4.26,42,9,1,3,2,0,4,0.3,3,0,0,1,0,0,https://fbref.com/en/players/68829001/Gonzalo-Castro
2018,Dortmund,Bundesliga,Mahmoud Dahoud,GER,MF,21,1996,12.7,36,2.83,28,1,4,1,0,2,7,0.55,6,0,1,0,0,0,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
2018,Dortmund,Bundesliga,Sergio Gómez,ESP,MF,16,2000,0.1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
2018,Dortmund,Bundesliga,Mario Götze,GER,MF,25,1992,17.8,65,3.65,52,9,1,2,1,0,4,0.22,4,0,0,0,0,0,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2018,Dortmund,Bundesliga,Raphaël Guerreiro,POR,"DF,MF",23,1993,6.1,14,2.3,13,0,1,0,0,0,3,0.49,2,0,1,0,0,0,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2018,Dortmund,Bundesliga,Alexander Isak,SWE,"FW,MF",17,1999,1.3,6,4.54,4,0,1,1,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/8e92be30/Alexander-Isak
2018,Dortmund,Bundesliga,Shinji Kagawa,JPN,MF,28,1989,13,35,2.7,24,7,1,1,2,0,4,0.31,3,0,0,0,1,0,https://fbref.com/en/players/5afafbfe/Shinji-Kagawa
2018,Dortmund,Bundesliga,Sokratis Papastathopoulos,GRE,DF,29,1988,26.4,16,0.61,14,1,1,0,0,0,2,0.08,2,0,0,0,0,0,https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos
2018,Dortmund,Bundesliga,Felix Passlack,GER,DF,19,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5c899683/Felix-Passlack
2018,Dortmund,Bundesliga,Maximilian Philipp,GER,"FW,MF",23,1994,13.4,35,2.62,20,0,2,7,4,2,7,0.52,3,0,0,4,0,0,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2018,Dortmund,Bundesliga,Łukasz Piszczek,POL,DF,32,1985,23.8,39,1.64,33,0,1,2,3,0,5,0.21,5,0,0,0,0,0,https://fbref.com/en/players/fe2db476/Lukasz-Piszczek
2018,Dortmund,Bundesliga,Christian Pulisic,USA,FW,18,1998,25.6,65,2.54,46,1,9,3,5,1,5,0.2,4,0,1,0,0,0,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2018,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",28,1989,10.3,29,2.82,20,5,3,1,0,0,3,0.29,1,0,2,0,0,0,https://fbref.com/en/players/36a3ff67/Marco-Reus
2018,Dortmund,Bundesliga,Nuri Şahin,TUR,MF,28,1988,13.6,38,2.79,33,2,1,2,0,0,2,0.15,2,0,0,0,0,0,https://fbref.com/en/players/f4081572/Nuri-Sahin
2018,Dortmund,Bundesliga,Jadon Sancho,ENG,FW,17,2000,7.7,38,4.97,31,1,5,1,0,0,6,0.78,5,0,1,0,0,0,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2018,Dortmund,Bundesliga,Marcel Schmelzer,GER,DF,29,1988,16.6,21,1.27,18,1,0,1,1,0,1,0.06,1,0,0,0,0,0,https://fbref.com/en/players/89565ac5/Marcel-Schmelzer
2018,Dortmund,Bundesliga,André Schürrle,GER,FW,26,1990,13.7,39,2.84,29,2,3,4,1,0,6,0.44,3,1,1,1,0,0,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2018,Dortmund,Bundesliga,Neven Subotić,SRB,DF,28,1988,3,2,0.66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/821233cc/Neven-Subotic
2018,Dortmund,Bundesliga,Jeremy Toljan,GER,DF,22,1994,13.5,27,2.01,25,1,0,0,1,0,2,0.15,2,0,0,0,0,0,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan
2018,Dortmund,Bundesliga,Ömer Toprak,TUR,DF,28,1989,22.4,13,0.58,11,0,0,2,0,0,2,0.09,0,0,0,2,0,0,https://fbref.com/en/players/c5fd13e9/Omer-Toprak
2018,Dortmund,Bundesliga,Roman Weidenfeller,GER,GK,36,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller
2018,Dortmund,Bundesliga,Julian Weigl,GER,MF,21,1995,21.6,20,0.93,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,https://fbref.com/en/players/346d51d9/Julian-Weigl
2018,Dortmund,Bundesliga,Andriy Yarmolenko,UKR,"FW,MF",27,1989,11.5,52,4.51,37,3,4,2,3,3,6,0.52,5,0,0,1,0,0,https://fbref.com/en/players/849c826a/Andriy-Yarmolenko
2018,Dortmund,Bundesliga,Dan-Axel Zagadou,FRA,DF,18,1999,7.3,7,0.96,6,1,0,0,0,0,1,0.14,1,0,0,0,0,0,https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou
2018,Eint Frankfurt,Bundesliga,David Abraham,ARG,DF,31,1986,25.6,16,0.63,12,1,0,3,0,0,2,0.08,1,0,0,1,0,0,https://fbref.com/en/players/565bf0da/David-Abraham
2018,Eint Frankfurt,Bundesliga,Aymen Barkok,MAR,"MF,FW",19,1998,3.5,10,2.87,7,0,0,0,1,2,1,0.29,1,0,0,0,0,0,https://fbref.com/en/players/a2a85828/Aymen-Barkok
